Welder_ID,Safety_Rating,Speed_Rating,SMAW_Proficient,GMAW_Proficient,FCAW_Proficient,GTAW_Proficient,Experience_10_Years
59,4,3,0,0,0,0,1
60,1,1,1,1,0,1,0
61,4,1,0,1,1,0,0
62,4,4,1,0,1,1,0
63,2,3,0,0,0,1,0
64,2,1,0,1,0,0,1
65,3,2,0,1,0,1,1
66,2,4,1,1,1,1,0
67,2,3,1,1,1,0,1
68,2,4,0,0,1,0,0
69,2,1,1,1,1,0,0
70,2,2,1,1,1,1,0
71,2,3,1,1,1,1,0
72,4,1,1,0,0,1,1
73,2,1,1,0,0,1,0
74,4,2,0,1,1,0,1
75,1,1,0,0,1,1,0
76,1,1,0,1,1,1,1
77,3,1,1,0,0,1,0
78,1,3,0,0,1,1,0
79,1,4,0,1,0,0,0
80,4,4,0,1,0,0,0
81,1,1,0,1,1,0,0
82,2,4,1,0,1,1,0
83,1,1,0,0,0,1,0
84,2,3,1,0,0,1,1
85,3,2,1,1,0,1,1
86,1,2,1,0,0,1,1
87,2,3,0,1,1,0,1
88,3,4,0,0,1,1,1
89,3,3,1,1,0,1,0
90,3,4,0,1,0,1,0
91,2,1,1,0,1,1,1
92,1,1,1,1,1,1,0
93,1,3,1,0,1,1,1
94,1,1,1,1,1,1,0
95,2,1,0,0,1,0,1
96,2,3,1,1,1,1,0
97,1,2,0,1,0,0,0
98,3,4,0,1,1,1,1
99,1,1,1,1,1,0,1
100,2,4,0,1,1,0,0
101,3,2,0,1,1,1,1
102,1,4,0,1,1,0,0
103,3,1,0,1,1,1,1
104,2,2,1,0,1,1,1
105,3,1,0,1,0,1,1
106,2,3,0,1,0,0,0
107,4,4,1,0,1,1,0
108,3,3,1,1,0,1,0
109,2,4,0,0,1,0,1
110,2,4,1,0,1,1,1
111,4,1,1,1,1,1,0
112,2,3,1,0,0,0,0
113,2,1,1,1,0,1,1
114,1,2,0,0,1,0,1
115,3,1,1,1,1,1,0
116,1,4,1,1,0,1,1
117,1,4,0,1,1,1,0
118,4,1,0,0,0,1,0
119,4,2,1,1,0,1,0
120,4,2,0,1,0,0,0
121,3,1,0,0,1,0,1
122,3,2,0,1,0,0,0
123,4,3,1,0,1,0,0
124,2,1,0,0,0,1,0
125,1,3,1,0,1,1,1
126,4,3,1,0,1,0,1
127,1,1,1,0,0,1,0
128,2,1,0,1,1,1,0
129,2,2,0,1,0,0,1
130,3,1,0,1,1,1,0
131,2,2,0,0,1,0,0
132,1,3,0,1,0,1,1
133,1,2,1,0,0,0,1
134,2,4,0,0,0,0,1
135,4,4,0,0,1,0,0
136,3,4,1,1,0,0,1
137,2,4,1,0,0,1,1
138,3,3,1,0,1,0,1
139,4,3,1,1,1,0,1
140,2,3,1,0,0,0,0
141,2,4,1,0,1,0,0
142,2,4,0,1,1,1,0
143,4,4,1,0,1,0,0
144,2,4,1,0,0,0,1
145,3,1,1,1,0,1,0
146,4,4,1,1,0,1,0
147,3,2,0,1,1,1,1
148,4,1,0,1,0,0,0
149,1,3,1,0,1,1,1
150,3,3,0,0,0,1,0
151,3,3,0,1,0,0,1
152,3,4,0,1,1,1,0
153,2,4,0,1,0,1,0
154,1,2,1,0,0,1,0
155,1,3,1,0,0,1,0
156,2,2,0,0,1,0,1
157,3,2,0,1,1,1,0
158,1,1,1,0,1,1,0
159,1,4,0,1,0,0,0
160,1,3,1,0,1,0,0
161,4,4,0,0,1,0,1
162,2,1,0,1,1,0,1
163,3,4,1,0,1,0,0
164,1,3,1,0,0,0,0
165,2,3,0,0,1,1,1
166,1,4,1,1,0,0,1
167,3,1,0,0,0,1,1
168,1,1,1,0,1,1,1
169,1,4,1,1,0,1,0
170,2,4,1,1,0,0,1
171,2,2,1,0,0,1,0
172,4,4,1,0,1,0,1
173,3,4,1,0,1,1,1
174,1,3,0,0,0,0,0
175,4,3,0,1,1,0,0
176,4,4,0,1,1,0,0
177,3,3,0,1,1,0,0
178,1,2,1,0,0,1,1
179,1,1,1,0,0,0,0
180,1,3,0,0,0,0,0
181,4,4,1,0,1,1,0
182,3,1,0,1,0,1,0
183,4,2,0,0,1,1,1
184,4,3,1,0,0,1,0
185,4,4,1,1,0,1,0
186,4,2,0,0,0,0,0
187,4,4,0,0,1,0,0
188,1,4,0,0,0,1,0
189,3,1,1,1,1,0,1
190,1,2,0,1,0,0,0
191,1,1,0,1,0,0,1
192,3,4,1,1,0,1,1
193,1,1,1,1,0,1,1
194,1,1,1,0,0,0,1
195,3,2,1,0,1,0,0
196,1,1,0,1,1,0,0
197,4,4,0,0,1,0,1
198,2,1,1,0,0,0,0
199,2,3,0,1,0,0,0
200,1,2,1,0,1,0,1
201,1,4,1,0,1,0,0
202,1,3,0,0,0,1,0
203,2,3,0,1,0,0,1
204,3,3,0,1,0,0,0
205,1,4,0,0,0,0,0
206,2,4,0,0,1,0,0
207,1,3,1,0,1,1,1
208,2,1,0,0,0,0,1
209,2,1,1,1,1,1,1
210,3,2,1,0,1,0,1
211,4,1,0,1,1,1,1
212,1,2,1,0,1,0,1
213,4,1,1,1,0,1,0
214,1,3,1,1,0,1,0
215,4,3,1,0,1,1,0
216,1,2,1,0,0,1,1
217,2,3,1,1,1,1,1
218,3,1,0,0,0,1,0
219,1,3,0,1,0,1,1
220,4,2,0,0,1,1,1
221,3,2,1,1,0,0,0
222,3,1,0,1,1,1,1
223,1,4,0,0,0,0,1
224,4,1,1,1,1,1,1
225,2,4,1,1,0,0,0
226,2,4,0,0,1,0,0
227,2,1,1,0,1,0,0
228,3,1,1,1,1,1,0
229,1,4,0,1,1,0,0
230,1,1,0,0,1,0,1
231,4,1,1,0,1,1,1
232,2,1,1,1,0,1,1
233,1,1,0,0,0,1,0
234,3,4,0,1,0,0,0
235,1,1,0,0,1,0,0
236,3,4,0,1,0,0,0
237,2,3,1,0,1,1,1
238,3,2,1,1,1,0,0
239,2,4,1,0,0,0,0
240,3,2,0,1,0,0,0
241,1,1,1,1,1,1,1
242,1,4,1,1,0,0,1
243,1,1,0,1,0,1,1
244,3,4,0,1,1,0,0
245,3,1,0,1,0,1,0
246,2,1,0,1,1,1,0
247,4,1,1,0,0,1,0
248,3,3,0,0,0,1,0
249,1,1,1,0,0,1,1
250,3,3,1,0,1,1,0
